title,company,salary,total_cities,cities,date,description
Programador Python,TEKTON,,1,['São Paulo - SP (1)'],24/11,Desenvolverá softwares que serão comercializados e implantados em serviços especializados. Procuramos programador que entenda de python e bibliotecas Django e/ou Streamlit.
Python Engineer,Oowlish Technology Eireli,,1,['Belo Horizonte - MG (1)'],08/11,Deve ter: Amplo conhecimento em Python; Experiência usando Django Experiência em integração de APIs de terceiros; Ter conhecimento em bancos de dados SQL e NoSQL Comprometido…
Programador Python,AGENCE,8500.0,1,['São Paulo - SP (1)'],03/12,Atividades Principais: - Estruturação e desenvolvimento de sistemas - Elaboração de Relatórios - Suporte às áreas ligadas ao desenvolvimento de sistemas - Manutenção dos…
Programador Python,Empresa Confidencial,,1,['São Paulo - SP (1)'],29/11,"Desenvolvimento Conhecimento especializado de Python, Java Spring Boot Conhecimento especializado em SQL Server, escrevendo consultas e junções complexas, trabalhando…"
Desenvolvedor Python,DGM,,1,['São Paulo - SP (1)'],11/11,"A Share RH em parceria com a Object Edge, empresa de soluções em E-Commerce, buscam por uma PE SS OA DESENVOLVEDORA WEB FRONTEND para atuação em 100% REMOTA . Sobre a Object Edge…"
Desenvolvedor Python,MOLLICA RH EIRELI - ME,,1,['Avaré - SP (1)'],05/11,Estamos trabalhando esta oportunidade para Spassu Tecnologia. Sobre a Spassu: Nossos times são repletos de especialistas sedentos por desafios cada vez maiores! Acreditamos…
Desenvolvedor Python,A & M Yours Servicos Empresariais Ltda,,1,['Porto Alegre - RS (1)'],09/12,"Criar sistemas e ferramentas de automação para configurar, monitorar e orquestrar a infraestrutura de dados e pipelines. Criar serviços de integração de dados para ajudar a…"
Desenvolvedor Python,Cedro Technologies Ltda.,,1,['São Paulo - SP (1)'],17/12,Apoiar na criação e manutenção de sistemas atuais. …
Programador Python,Empresa Confidencial,,1,['São Paulo - SP (1)'],01/12,"Atuar com programação Fullstack, Django, consumo de APIS REST, bancos de dados, JavaScript, jQuery, HTML e CSS."
Programador Python,Lidere Soluções Ltda,5500.0,1,['Goiania - GO (1)'],10/11,"- Experiência com Django Framework: Forms, Templates, Views, Models e Database - Experiência com rotinas de CI/CD; - Experiência com TDD (Test Driven Development); …"
Programador Python,Empresa Confidencial,,1,['São Paulo - SP (1)'],29/10,Conhecimento e experiência com framework Django. Conhecimento em banco de dados Mysql e Postgres. Conhecimento no mercado financeiro é um diferencial.
Desenvolvedor Python Sênior,Digital It Global Solucoes em Tecnologia da Informacao LTDA,8500.0,1,['Rio de Janeiro - RJ (1)'],10/11,Desenvolvedor com experiência em desenvolvimento web com Python e Framework Django. Desenvolvimento de módulos e aplicativos web em Python usando o framework Django. Ensino…
Desenvolvedor Python Sênior,Digital It Global Solucoes em Tecnologia da Informacao LTDA,8500.0,1,['São Paulo - SP (1)'],10/11,Desenvolvedor com experiência em desenvolvimento web com Python e Framework Django. Desenvolvimento de módulos e aplicativos web em Python usando o framework Django. Ensino…
Programador Python Full Stack,Empresa Confidencial,,6,"['Belo Horizonte - MG (1)', 'Cuiaba - MT (1)']",03/12,Procuramos desenvolvedores com experiência em desenvolvimento e programação de software em PYTHON. Nosso Desenvolvedor Full Stack deve ter nível pleno em linguagem Python e…
Especialista de Tecnologia - Python,Empresa Confidencial,,1,['São Paulo - SP (1)'],29/11,"Programa em Python e estrutura o banco de dados. Executa a manutenção dos sistemas, fazendo eventuais correções necessárias, visando atender às necessidades dos usuários…"
Python Developer Sênior,STEPWISE,,2,"['São Carlos - SP (1)', 'São Paulo - SP (1)']",17/12,"- Análise de consistências de dados; - Testes unitários; - Ajustes e melhorias no código (Python). Python (Pandas, Pyspark); - SQL; - AWS (Batch, Lambda, S3); - Git; …"
Analista Python e Django,FULL TIME SOLUÇÕES EM ATIVOS,6500.0,1,['São Paulo - SP (1)'],13/12,"Experiência na função. ECS, EDS, S3. Desenvolvimento de Dashboard web. Construção de APIS. Implementação de Scripts em Python para extração de dados em documentos TXT…"
Python Developer Sênior,Empresa Confidencial,,1,['Avaré - SP (1)'],07/12,Projetar e desenvolver APIs REST Python e serviços de backend. Desenvolvimento de serviços Python hospedados no Microsoft Azure.
Programador Python para Odoo,Nds Informática Ltda. - ME,,4,"['Belo Horizonte - MG (1)', 'Florianópolis - SC (1)']",26/11,"Plataforma Odoo ERP Sistema conhecido internacionalmente, e desenvolvido em Python e Django Desenvolver e dar manutenção a plataforma. Programadar em Python Conhecer um pouco…"
Estágio na área de Programação Python,E- Software Sistemas Ltda. ME,1000.0,1,['Belo Horizonte - MG (1)'],09/12,"Necessário conhecimento com Programação Python, com conhecimento em framework, Django, HTML, CSS, JavaScript. Desenvolvimento de Sistemas, tecnólogos e afins. Sistemas da…"
Programador Python para Odoo,Nds Informática Ltda. - ME,,1,['Maringa - PR (1)'],26/11,"Plataforma Odoo ERP Sistema conhecido internacionalmente, e desenvolvido em Python e Django Desenvolver e dar manutenção a plataforma. Informações adicionais Ocultar seção …"
Python Engineer - Remote,Oowlish Technology Eireli,,1,['Recife - PE (1)'],08/11,Procuramos um engenheiro Python experiente com experiência prática em muitas facetas técnicas do campo de desenvolvimento da Web. Deve ter Amplo conhecimento em…
Python Engineer - Remote,Oowlish Technology Eireli,,1,['Porto Alegre - RS (1)'],08/11,Procuramos um engenheiro Python experiente com experiência prática em muitas facetas técnicas do campo de desenvolvimento da Web. Deve ter Amplo conhecimento em…
Desenvolvedor Python + AWS,MOLLICA RH EIRELI - ME,,1,['Avaré - SP (1)'],08/11,"Estamos em busca de profissionais inovadores e criativos, que tenham paixão em desenvolver e que almejem evoluir e aprender! Experiência com linguagens de programação Python…"
Python Engineer - Remote,Oowlish Technology Eireli,,1,['Florianópolis - SC (1)'],08/11,Procuramos um engenheiro Python experiente com experiência prática em muitas facetas técnicas do campo de desenvolvimento da Web. Deve ter Amplo conhecimento em…
Python Engineer - Remote,Oowlish Technology Eireli,,1,['São Paulo - SP (1)'],08/11,Procuramos um engenheiro Python experiente com experiência prática em muitas facetas técnicas do campo de desenvolvimento da Web. Deve ter Amplo conhecimento em…
Desenvolvedor Python / SQL,Empresa Confidencial,,1,['Porto Alegre - RS (1)'],09/12,"Programação em Phyton e SQL. Criação de objetos e programação de ETLs. Análises, relatórios, rotinas acionamento de clientes estratégicos pra fomentar vendas/campanhas. Trabalho…"
