title,company,salary,total_cities,cities,date,description
Analista Desenvolvedor Python Sênior,AXXIOM,,1,['Belo Horizonte - MG (1)'],25/11,"Atuar em desenvolvimento de solução para projeto de P&D. Realizar codificações de novos sistemas, implementações de funcionalidades, integrações com outras plataformas; Analisar…"
Analista Desenvolvedor Python Sênior,Foursys Projetos e Sistemas em Informática Ltda.,,1,['São Paulo - SP (1)'],22/11,"Proporcionar soluções técnicas eficientes, flexíveis e que atendem ao negócio; Ser uma referência técnica, motivar positivamente o ambiente, auxiliar no momento de realizar…"
Analista de Sistemas/Desenvolvedor (Python),Empresa Confidencial,,1,['São Paulo - SP (1)'],19/11,* DESENVOLVIMENTO E MANUTENÇÃO * BANCO DE DADOS Esclarecemos na entrevista. - Experiência com desenvolvimento de sistemas como Analista Sênior. - Sólidos conhecimentos no…
Python Developer Projeto Internacional,BRQ Soluções em Informática S.A,5500.0,1,['São Paulo - SP (1)'],05/11,"Desenvolvimento de Scrappers e Web Crawlers, construção de adaptadores de dados para processos de ETL. Criação de algoritmos de manipulação, higienização e merge de dados e…"
Fullstack Python React Projeto Internacional,BRQ Soluções em Informática S.A,,1,['São Paulo - SP (1)'],05/11,"Executar a manutenção dos sistemas, fazendo eventuais correções necessárias, visando atender às necessidades dos usuários. Desenvolver trabalhos de montagem, depuração e testes…"
Estágio em Área de Programação - Python/C#/HTML/JavaScript,DSS,1500.0,1,['Santo Andre - SP (1)'],30/11,"Homologar desenvolvimentos realizados, aperfeiçoar produto (Sistema) já existente, desenvolver produtos na linguagem Python, C#, HTML e JavaScript. Programar em alguma linguagem…"
Desenvolvedor Python JS-Angular/Mongo,Decision Desenvolvimento de Sistemas Ltda.,,1,['Fortaleza - CE (1)'],23/11,"Programa em Python e estrutura o banco de dados. Executa a manutenção dos sistemas, fazendo eventuais correções necessárias, visando atender às necessidades dos usuários…"
Desenvolvedora Fullstack Python Pleno e Sênior,MOLLICA RH EIRELI - ME,,1,['Santa Rita do Sapucai - MG (1)'],19/11,"Atuar com as linguagens: Python, Javascript, HTML, CSS. Experiência com os frameworks: React, Flask. Experiência com os Bancos de dados: PostgreSQL, MongoDB, NoSQL. Conhecimento…"
Programador Junior/Iniciante - Python - REMOTO,VALINKE.COM,2500.0,4,"['Campinas - PR (2)', 'Indaiatuba - SP (2)']",09/12,"Oportunidade para atuar na área de produtos, Desenvolvimento de ferramentas (baseadas em Pyhton e React), Desenvolvimento e habilidades de programação em outras linguagens."
DESENVOLVEDOR BACKEND PYTHON JÚNIOR (REMOTO),Empresa Confidencial,,11,"['Belo Horizonte - MG (1)', 'Brasilia - DF (1)']",08/11,"- Desenvolvimento back-end de aplicações Web; - Desenvolver novas funcionalidades e atuar na resolução de bugs das aplicações, junto com o time; - Trazer boas práticas e…"
Desenvolvedor de Software Python - Líder Técnico,People Talent Soluções Em Recursos Humanos Eireli,,1,['São Paulo - SP (1)'],03/12,"Desenvolver e manter software de acordo com os requisitos do projeto, entregando código dentro dos padrões de qualidade adotados pela Magrathea. Compreender e discutir sobre o…"
Desenvolvedor(A) Python – Omni Web (Home office),FLEX GESTÃO DE RELACIONAMENTOS,,1,['Florianópolis - SC (1)'],02/12,"- Analisar a viabilidade de demandas apresentadas pelos usuários a serem implementadas nos programas/sistemas existentes; - Pesquisar, analisar e sugerir e contribuir na…"
Desenvolvedor Python - Home Office,Search Recursos Humanos,,1,['São Paulo - SP (1)'],13/12,"Tecnologia - Experiência com Python 3.0, Framework Django e/ou outros para WEB, uso do Guideline PEP8 e Orientação a Objetos; - Conhecimentos de Javascript; - Experiência com…"
Analista Programador Backend Developer - SQL / NodeJS / Python,Drift Comércio De Alimentos S/a.,,1,['Vila Velha - ES (1)'],11/11,"Atuar com Linguagem SQL, NodeJS ou Python ou R. Graduação (ou andamento) em cursos da área de Tecnologia da Informação. Conhecimento avançado em linguagem SQL. Conhecimento…"
Desenvolvedor Full Stack Pleno - Python / React e Node JS,Solutis Tecnologias Ltda.,,1,['Salvador - BA (1)'],13/12,"Em nossos processos transitamos entre sistemas legados até projetos com Inteligência Artificial, DevOps, Machine Learning RPA, Chatbots, envolvendo transbordo para chat…"
"Desenvolvedor Backend - Node.JS, GraphQL, Golang e Python",Empresa Confidencial,,1,['São Paulo - SP (1)'],01/12,"Desenvolvimento de sistemas. Sustentação e integração de sistemas. Desenvolvimento de funcionalidades no backend. Conhecimento com Dev Web Back: PHP (7 ou superior, com uso de…"
Analista Desenv. Sistemas Jr (Analista Telecom - Python) - Home office,FLEX GESTÃO DE RELACIONAMENTOS,,1,['Florianópolis - SC (1)'],02/12,"- Prestar suporte á serviços e servidores Linux e Windows - Prestar suporte a redes de telefonia - Prestar suporte a Asterisk, análise, troubleshooting e desenvolvimento …"
